Date,Nom_GDP_CAN,Real_GDP_CAN,CPI_CAN,UNEMP_CAN,WUICAN,CAN_unc_h1,CAN_unc_h2,CAN_unc_h4,mean_EPU_CAN,mean_UNEMP_DUR_1_4,mean_UNEMP_DUR_TOT,mean_PROB_JOB_FINDING,mean_OUTFLOW_RATE,mean_US_unc_h1,mean_US_unc_h3,mean_US_unc_h12
1978-07-01,63794,199553.8,29.3389518040558,8.36666666666667,0.0754546,NaN,NaN,NaN,NaN,276.866666666667,942.866666666667,29.9984720827493,35.6846995754046,0.59635970025219,0.740097599302468,0.897480357338832
1978-10-01,65764,201303.8,29.8393468527785,8.26666666666667,0.0969744,NaN,NaN,NaN,NaN,284.166666666667,936.1,30.0370247020724,35.7315343296157,0.610509048440649,0.756840601208179,0.910871378157594
1979-01-01,67838,202978.5,30.4714248090598,8.03333333333333,0,NaN,NaN,NaN,NaN,276.666666666667,920.166666666667,30.931139720174,37.0164817395964,0.660653027086792,0.797225468850326,0.928741464579314
1979-04-01,71029,205712.8,31.3141954174348,7.66666666666667,0.147656,NaN,NaN,NaN,NaN,276.7,878.866666666667,33.6186164597231,40.9845830443464,0.71654608525916,0.8463687274919,0.961360678465868
1979-07-01,73225,207136.3,31.9199367922044,7.1,0.0811491,NaN,NaN,NaN,NaN,268.466666666667,823.033333333333,33.3277946100195,40.5538765054842,0.722530145103014,0.863421986746993,0.989517054793258
1979-10-01,75481,208515,32.6573610745325,7.2,0.0880049,NaN,NaN,NaN,NaN,281.8,842.7,32.9773864089167,40.0259601834203,0.761035376291144,0.91893079881601,1.04189741317445
1980-01-01,77439,209975,33.368448775349,7.56666666666667,0.4079967,NaN,NaN,NaN,NaN,305.5,890.833333333333,32.6165116263491,39.4782584497838,0.868236066984266,1.02847996755566,1.10756597801582
1980-04-01,79302,209908.3,34.2902291282592,7.73333333333333,0.2670049,NaN,NaN,NaN,NaN,293.666666666667,916.833333333333,32.0705396347227,38.6902791012122,0.964058164398693,1.12829415917519,1.16302193281441
1980-07-01,81180,209667.3,35.2646826441928,7.5,0.1464236,NaN,NaN,NaN,NaN,286.466666666667,896.566666666667,31.9823461271204,38.5594961257451,0.90517718218926,1.06424824678819,1.12794551826242
1980-10-01,84826,212561,36.2391361601264,7.26666666666667,0.1061515,NaN,NaN,NaN,NaN,271.866666666667,868.3,31.1545225776597,37.3471793774597,0.852887837594716,1.01730343531558,1.11188105180711
1981-01-01,88998,217245.8,37.4769554911772,7.4,0.0777847,NaN,NaN,NaN,NaN,293.9,898.166666666667,33.4217612304445,40.6962318689538,0.836374105475093,1.0082828731931,1.11620427976358
1981-04-01,91998,219687.5,38.5830919146695,7.16666666666667,0,NaN,NaN,NaN,NaN,285.033333333333,877.8,32.7445224476568,39.6757880271038,0.830061198193242,0.998825188936255,1.11099140161321
1981-07-01,93205,217715.3,39.7419015011852,7.46666666666667,0.0876347,NaN,NaN,NaN,NaN,303.4,914.833333333333,29.2843852360815,34.876104696498,0.830607397251796,0.996671770446934,1.10347377879464
1981-10-01,94157,216718.5,40.7163550171188,8.43333333333333,0,NaN,NaN,NaN,NaN,338.733333333333,1037.2,31.4776275552139,37.8129693780615,0.84758994540941,1.00809316942383,1.09558332120776
1982-01-01,95751,214169,41.7434816960759,8.93333333333333,0,0.849546244738606,0.906863059470191,0.93265847972495,NaN,334.4,1097.4,26.8463739564029,31.2701821125442,0.870382118754478,1.01443922400733,1.08169635123154
1982-04-01,96629,211690.8,43.0339741901501,10.4,0,0.861536975821882,0.914995227812166,0.940640202818174,NaN,372.366666666667,1280.16666666667,23.0536910609326,26.2343393144412,0.81568530236102,0.966693406107293,1.06105470538628
1982-07-01,97390,209835.3,43.9557545430603,12.1,0.1086012,0.852695558527121,0.906193568542986,0.932738754337356,NaN,375.633333333333,1490.1,22.0262881926551,24.9146579238718,0.784233055115819,0.938451653231853,1.04084822648885
1982-10-01,98411,207899.3,44.640505662365,12.9666666666667,0,0.848768399935111,0.904447215966406,0.931707386565409,NaN,373.9,1608.96666666667,22.8272554009705,25.9215627003033,0.760963761903626,0.903045429723489,1.00529867024167
1983-01-01,100809,211377,44.9565446405057,12.6333333333333,0,0.828861788718673,0.8855207111023,0.917181683227987,NaN,341.033333333333,1567.03333333333,22.6113268808446,25.6343877558422,0.738911232618386,0.868454342409667,0.971412367220969
1983-04-01,103951,215531.5,45.5622860152752,12.4,0,0.808145864972043,0.865610703257071,0.902863257475906,NaN,351.6,1555.83333333333,23.6798462677882,27.0448548469754,0.682165107933086,0.814920500684158,0.94092459455464
1983-07-01,107240,217942,46.2997102976034,11.6666666666667,0,0.78828348884625,0.8481911100028,0.890518770785438,NaN,341.2,1465.9,24.9282723091123,28.6746268686463,0.653354409745097,0.78557318368956,0.922413744823208
1983-10-01,109316,220688.5,46.7210956017909,11.3,0,0.766829925917805,0.828434182044653,0.877299786854907,NaN,341.8,1421.4,24.5866649358399,28.2283855913255,0.622383839415681,0.75608158725474,0.905822066439434
1984-01-01,111960,224485,47.274163813537,11.3,0.04884,0.753699972721499,0.816972092381899,0.869228720123304,NaN,363.566666666667,1424.46666666667,24.9284514613703,28.6786643374348,0.632749385009697,0.76333489599258,0.906815494655437
